energie_alias,current_portion,rank,cnf_food_id,score,cnf_fr,cnf_en,kcal_100g
nuggets de poulet,10 morceaux,9,84,0.5,"Oeuf, poule, déshydraté, entier, stabilisé","Egg, chicken, dried, whole, stabilized",615
nuggets de poulet,10 morceaux,10,85,0.5,"Oeuf, poule, blanc, séché, flocons","Egg, chicken, white, pan dried, flakes",351
nuggets de poulet,10 morceaux,11,87,0.5,"Oeuf, poule, jaune, déshydraté","Egg, chicken, yolk, dried",669
nuggets de poulet,10 morceaux,12,125,0.5,"Oeuf, poule, entier, frais ou congelé, cru","Egg, chicken, whole, fresh or frozen, raw",152
salade de pâtes,2 tasses,1,6744,2.3,"Salade de pâtes avec légumes, préparée avec vinaigrette italienne, faite maison","Pasta salad with vegetables, prepared with Italian dressing, homemade",132
salade de pâtes,2 tasses,2,2187,0.667,"Pomme de terre, salade, faite maison","Potato salad, homemade",143
salade de pâtes,2 tasses,3,3299,0.667,"Pâtes, nouilles de haricot mungo (nouilles chinoise, cellophane), déshydratées","Pasta, mung beans noodles (chinese, cellophane or long rice noodles), dehydrated",352
salade de pâtes,2 tasses,4,4610,0.667,"Aliments prêts à manger, mexicain, salade de taco","Fast foods, mexican, taco salad",141
salade de pâtes,2 tasses,5,4652,0.667,"Aliments prêts à manger, sandwich sous-marin fait avec pain blanc, salade de thon, laitue et tomates","Fast foods, submarine sandwich on white bread, tuna salad with lettuce and tomatoes",218
salade de pâtes,2 tasses,6,4653,0.667,"Aliments prêts à manger, plat d'accompagnement, salade de chou","Fast foods, side dish, coleslaw",153
salade de pâtes,2 tasses,7,4666,0.667,"Aliments prêts à manger, plat d'accompagnement, salade de pommes de terre","Fast foods, side dish, potato salad",114
salade de pâtes,2 tasses,8,4874,0.667,"Pâtes, nouilles de riz, cuites","Pasta, rice noodles, cooked",108
salade de pâtes,2 tasses,9,4888,0.667,"Pâtes, nouilles de riz, sèches","Pasta, rice noodles, dry",364
salade de pâtes,2 tasses,10,5496,0.667,"Vinaigrette, salade de chou, teneur réduite en gras","Salad dressing, coleslaw dressing, reduced fat",329
salade de pâtes,2 tasses,11,5516,0.667,"Vinaigrette, salade de chou","Salad dressing, coleslaw",404
salade de pâtes,2 tasses,12,5535,0.667,"Pâtes, vermicelles de soya, sec","Pasta, vermicelli, made from soy, dry",331
riz,1 tasse cuite,1,1225,1.5,"Céréale, chaude, crème de riz, cuite","Cereal, hot, cream of rice, cooked",52
riz,1 tasse cuite,2,6675,1.5,"Grains céréaliers, riz, blanc, cuit à la vapeur, restaurant chinois","Grains, rice, white, steamed, Chinese restaurant",151
riz,1 tasse cuite,3,4423,1,"Grains céréaliers, riz brun, grain moyen, cuit","Grains, rice, brown, medium-grain, cooked",112
riz,1 tasse cuite,4,4425,1,"Grains céréaliers, riz blanc, glutineux, cuit","Grains, rice, white, glutinous, cooked",97
riz,1 tasse cuite,5,4427,1,"Grains céréaliers, riz blanc avec pâtes et assaisonnements, cuit","Grains, rice, white with pasta and seasonings, cooked",122
riz,1 tasse cuite,6,4450,1,"Grains céréaliers, riz sauvage, cuit","Grains, rice, wild, cooked",101
riz,1 tasse cuite,7,4473,1,"Grains céréaliers, riz blanc, grain long, étuvé, cuit","Grains, rice, white, long-grain, parboiled, cooked",123
riz,1 tasse cuite,8,4475,1,"Grains céréaliers, riz blanc, grain moyen, cuit","Grains, rice, white, medium-grain, cooked",130
riz,1 tasse cuite,9,4477,1,"Grains céréaliers, riz blanc, grain court, cuit","Grains, rice, white, short-grain, cooked",130
riz,1 tasse cuite,10,4481,1,"Grains céréaliers, riz blanc, grain long, précuit ou instantané, enrichi, sec","Grains, rice, white, long-grain, pre-cooked or instant, enriched, dry",380
riz,1 tasse cuite,11,4482,1,"Grains céréaliers, riz blanc, grain long, précuit ou instantané, enrichi, préparé","Grains, rice, white, long-grain, pre-cooked or instant, enriched, prepared",124
riz,1 tasse cuite,12,4497,1,"Grains céréaliers, riz brun, grain long, cuit","Grains, rice, brown, long-grain, cooked",123
fromage,30 g,1,119,2.3,"Fromage cheddar, doux","Cheese, cheddar, mild",418
fromage,30 g,2,5459,2.3,"Fromage cheddar, immitation, faible en cholestérol","Cheese, cheddar, imitation, low cholesterol",390
fromage,30 g,3,5566,2.3,"Fromage cheddar, imitation","Cheese, cheddar, imitation",239
fromage,30 g,4,6038,2.3,"Fromage cheddar, doux, teneur réduite en gras","Cheese, cheddar, mild, reduced fat",325
fromage,30 g,5,7734,2.3,"Fromage cheddar, extra-fort","Cheese, cheddar, extra old",410
fromage,30 g,6,7735,2.3,"Fromage cheddar, fort","Cheese, cheddar, old",423
fromage,30 g,7,7736,2.3,"Fromage cheddar, fort, léger","Cheese, cheddar, old, light",297
fromage,30 g,8,7737,2.3,"Fromage cheddar, mi-fort","Cheese, cheddar, medium",412
fromage,30 g,9,7738,2.3,"Fromage cheddar, mi-fort, léger","Cheese, cheddar, medium, light",335
fromage,30 g,10,7741,2.3,"Fromage cheddar, marbré","Cheese, cheddar, marble",428
fromage,30 g,11,7742,2.3,"Fromage cheddar, marbré, léger","Cheese, cheddar, marble, light",316
fromage,30 g,12,930,1.5,"Soupe, fromage cheddar, conserve, condensée","Soup, cheddar cheese, canned, condensed",109
porc effiloché,150 g,1,7093,2.3,Porc effiloché dans une sauce barbecue,Pulled pork in barbecue sauce,168
porc effiloché,150 g,2,464,0.5,"Gras animal, saindoux (porc)","Animal fat, lard (pork)",849
porc effiloché,150 g,3,1008,0.5,"Sauce, porc, déshydratée","Gravy, pork, dehydrated",367
porc effiloché,150 g,4,1139,0.5,"Saucisse, saucisson de bière, porc","Sausage, Beerwurst, beer salami, pork",238
porc effiloché,150 g,5,1140,0.5,"Saucisse, Bockwurst, porc/veau, lait/oeufs, crue","Sausage, Bockwurst, pork/veal, with milk and eggs, raw",301
porc effiloché,150 g,6,1142,0.5,"Saucisse Bratwurst, porc et bœuf","Sausage, Brotwurst, pork, beef, with skimmed dry milk",324
porc effiloché,150 g,7,1143,0.5,"Saucisse fumée, fromage, porc, boeuf","Wiener (cheesefurter), cheddar smokie",284
porc effiloché,150 g,8,1152,0.5,"Saucisse, italienne, porc, crue","Sausage, Italian, pork, raw",263
porc effiloché,150 g,9,1153,0.5,"Saucisse, knackwurst (knockwurst), porc, boeuf","Sausage, Knackwurst (knockwurst), raw",277
porc effiloché,150 g,10,1157,0.5,"Charcuterie, pain de viande aux olives, porc","Deli-meat, olive loaf, pork",235
porc effiloché,150 g,11,1167,0.5,"Saucisse, fumée, porc, pré-cuite","Sausage, smoked, pork, pre-cooked",286
porc effiloché,150 g,12,1171,0.5,"Charcuterie, saucisson, thuringer, cervelat, boeuf et porc","Deli-meat, thuringer, cervelat, beef and pork",362
fajitas,1 portion,1,6774,2.3,Fajita au poulet et aux légumes,Fajita with chicken and vegetables,155
manioc,1 tasse cuite,1,129,0.5,"Oeuf, poule, entier, cuit, frit","Egg, chicken, whole, cooked, fried",193
manioc,1 tasse cuite,2,130,0.5,"Oeuf, poule, entier, cuit, bouilli à la coque, dur","Egg, chicken, whole, cooked, boiled in shell, hard-cooked",141
manioc,1 tasse cuite,3,132,0.5,"Oeuf, poule, entier, cuit, poché","Egg, chicken, whole, cooked, poached",145
manioc,1 tasse cuite,4,133,0.5,"Oeuf, poule, entier, cuit, brouillé ou omelette","Egg, chicken, whole, cooked, scrambled or omelet",153
manioc,1 tasse cuite,5,816,0.5,"Dinde, toutes catégories, hachée, cuite","Turkey, all classes, ground, cooked",196
manioc,1 tasse cuite,6,919,0.5,"Poulet, haché, maigre, cuit","Chicken, ground, lean, cooked",189
manioc,1 tasse cuite,7,1148,0.5,"Charcuterie, jambon, cuit, tranché","Deli-meat, ham, cooked, sliced",122
manioc,1 tasse cuite,8,1154,0.5,"Charcuterie, boeuf, cuit, tranché","Deli-meat, roast beef, cooked, sliced",116
manioc,1 tasse cuite,9,1167,0.5,"Saucisse, fumée, porc, pré-cuite","Sausage, smoked, pork, pre-cooked",286
manioc,1 tasse cuite,10,1172,0.5,"Charcuterie, poitrine de dinde, cuite, tranchée","Deli-meat, turkey breast, cooked, sliced",118
manioc,1 tasse cuite,11,1175,0.5,"Saucisse, italienne, porc, cuite","Sausage, Italian, pork, cooked",290
manioc,1 tasse cuite,12,1182,0.5,"Saucisse, Bratwurst, porc, cuite","Sausage, Bratwurst, pork, cooked",314
